epoch,dsc,dsc_int,l1,loss,val_dsc,val_dsc_int,val_l1,val_loss
0,0.27633573489897184,0.22616356635215104,0.02846143142644968,0.1954753838501485,0.22734403751247112,0.17832351332690932,0.019692645761318562,0.15155963702076813
1,0.1961353637280077,0.1521540056345962,0.01800027042822036,0.12963301852381412,0.1980625511365457,0.14902434383550991,0.017170997517269877,0.12797247852418278
2,0.17355433421539448,0.13306668502408678,0.01574680761538228,0.11347189410838004,0.19204823031455656,0.1495851940189664,0.016863869101195323,0.1281007458424985
3,0.16095036143225852,0.1223646324258712,0.014526928479215856,0.10448981455897428,0.1601767068152833,0.12698951861167113,0.01358068022582817,0.1082089008014557
4,0.15261486180264455,0.11705883093731424,0.013791840563420156,0.09986514340526008,0.1561226104310365,0.11698042492215499,0.013368821802822454,0.1001672790649068
5,0.14702053270840637,0.11217462093125269,0.013345886364577203,0.09540944613158879,0.16261312535291986,0.1312393203575328,0.013889573876548955,0.11212169544714053
6,0.1414910288174649,0.10823825007308044,0.012854211101035384,0.09198225503255714,0.14550050399690023,0.10914578547475566,0.01238575706010288,0.09344239127409609
7,0.13870537594356155,0.10707619999735325,0.012660556684014258,0.09101245215617437,0.15207433053856517,0.11325451108330054,0.012804840533079656,0.09678744856827298
8,0.1352999870465927,0.10391045468194145,0.012354084052429047,0.08837174536539,0.13869067532531895,0.10482164973088817,0.011806764961582412,0.08954887556034517
9,0.1323360901668416,0.10186071732238482,0.01209397355698127,0.08644487330586685,0.13257836730563546,0.1041316476983432,0.011365318535577288,0.08899134859182233
10,0.12897685511051188,0.09927639165502296,0.011816594387494233,0.08436220451985758,0.1492583070751987,0.11493267272523255,0.013080224142179136,0.09811531995311425
11,0.12928568949227484,0.1008997993452384,0.011862205105320246,0.08568050606209705,0.16130182372474614,0.12903342215482408,0.014288999474842624,0.11027367983850964
12,0.12574097964662037,0.0960925903218229,0.011514716797152096,0.08152492513919574,0.13027638116556164,0.10267206863233524,0.011235089856410436,0.08744081631841755
13,0.12427951678477929,0.09610439550817508,0.011463787817053999,0.08142722072341876,0.13202607151594703,0.10123907606274052,0.011361332760136877,0.08640190493932971
14,0.12236819526715305,0.09414119619094345,0.011263625286679282,0.07980514320346951,0.12464096819765241,0.10199391825271702,0.010581035451596403,0.08691849518228252
15,0.1232680410158695,0.09610850062431965,0.011346463139234568,0.08156973811296317,0.15373027896830804,0.12629133059613457,0.013778907196363856,0.10771202033294691
16,0.1196364964985298,0.09199666355181654,0.011046362931722052,0.0780005744573291,0.12136219538447367,0.0945220846411081,0.010353722729152625,0.08036425899694022
17,0.11979509133239497,0.09243547339296891,0.011005641184887005,0.07832451074860174,0.12144524194053169,0.09450243022730725,0.01039878369071546,0.0800902481904369
18,0.11778434287308369,0.09054688214097513,0.010837787503181403,0.07662947765366541,0.12256276827572771,0.09445956747725184,0.01053503753798169,0.07995095291254102
19,0.1167294497413726,0.09007503733306492,0.010771064262979952,0.07630829897983021,0.12147554495181571,0.09445856154108709,0.010419229629341201,0.08009872522885501
20,0.11643499098029222,0.08936509184880795,0.010722630728396612,0.07571823131747363,0.12020856359408806,0.0995206210252533,0.01020858500258365,0.08388898300704214
21,0.11483181031339451,0.0880975733291237,0.010608185353259305,0.07452126339385479,0.1250693284383806,0.09696381575932626,0.010812582050670767,0.08240970335519048
22,0.11460034210355695,0.08858412920558015,0.010595505011121435,0.0748604975862434,0.11569900602784913,0.09060517554365058,0.009964720261265816,0.076329515531722
23,0.11269428521690276,0.08630007816440169,0.010428375929955486,0.07301889903517901,0.1164652649369349,0.09130146003240128,0.009975897600720488,0.0768920906795264
24,0.11378188159878917,0.08839179766350666,0.010556749123116419,0.07470166797322103,0.11794600969897903,0.09193346659737657,0.010239070156199556,0.07775128307634983
25,0.11206134234379585,0.08597881064473928,0.010362083424572665,0.07256537957925223,0.1137492216858539,0.09052035020750786,0.009745516779486173,0.07621907965112264
26,0.11265920889789763,0.08732987075836401,0.010462905371901626,0.07378441798574353,0.11914848653468257,0.0956504102335988,0.010432518410399296,0.0804632556068387
27,0.11086644772844576,0.08491729598375564,0.010291540071406159,0.07185836749101925,0.11590840778863164,0.08875003744044743,0.010086102883268042,0.07543783227566712
28,0.1094756997348923,0.08411397748803748,0.010185404155599076,0.07096052228509821,0.11342647917357607,0.08805711173091472,0.009898413856294301,0.07437694531704303
29,0.10910898269309144,0.08400606694105833,0.010170087201061006,0.07091254652489033,0.11574939854393672,0.08745936805976307,0.010083572982264219,0.07419861797883326
30,0.10852937042489508,0.08324102654202442,0.010121846457988751,0.07014997462841628,0.12347008240301972,0.1033163080379286,0.010729745393613328,0.08766212606731849
31,0.10880379093632689,0.08397240571515932,0.01014201803428938,0.07084180550668234,0.11671064129394533,0.08760970769839663,0.010049287486886533,0.07434517523299648
32,0.10692447758621966,0.08149157759252486,0.009957720741731445,0.0687204641605775,0.11409042564553622,0.08591771195404066,0.009910985224528296,0.0728464606406101
33,0.10636644638701374,0.08116289627588776,0.009909032946100538,0.06848422491324392,0.11008768801303999,0.08761007502684039,0.009481833318069873,0.07419363631361073
34,0.10813921691584734,0.084008744089829,0.010112161273214116,0.07088038183127673,0.11247921573372043,0.08692818276938938,0.009871240493612989,0.07378783657688776
35,0.10632621945827776,0.08162010798474893,0.009927829123456336,0.06881076643451613,0.11422195611605808,0.08371657492382976,0.00982296632770101,0.07126225266580916
36,0.10519163829332637,0.08029044568498726,0.009820303345996217,0.06766785660379696,0.11065487298191563,0.08539279098518647,0.009635287754668789,0.07210378278094003
37,0.10587269942423704,0.08138129887221263,0.00990828884931751,0.06863721324911197,0.12798509672239217,0.09861857383868435,0.011289605652467718,0.08415278287816651
38,0.10568564581275146,0.08142169911531205,0.00989090751545043,0.0686274724636807,0.12589757153882256,0.10342740995956516,0.011397303169062154,0.08750183924790102
39,0.10450769802722686,0.07962565850920794,0.009751429470294412,0.06705451557221537,0.120591479146459,0.09956313690789281,0.010680248335479899,0.08409233092632978
40,0.10435331682917964,0.07968164701239412,0.009713368385249393,0.06711207292884133,0.11441223696996966,0.09161873701611796,0.010026362259221624,0.07730118268365382
41,0.10282741723064442,0.07829945502316975,0.009637442487460483,0.06599420896965708,0.10790180606681084,0.08495535185047487,0.009325453894231929,0.07180775066073075
42,0.10345415327287621,0.07938551874414458,0.00969635327907014,0.06689028160437378,0.11344046314090328,0.09075548901318642,0.010133034423343958,0.0766574946591982
43,0.104816464908447,0.08126749496890022,0.009831003148555036,0.06843934446189845,0.10600590080274308,0.08370189939531811,0.009288985616201338,0.07065517484755528
44,0.10218176279038278,0.07796412879709455,0.009541897520051504,0.0656065232652389,0.10442125058051978,0.08517331041894166,0.009075381253880233,0.07168675566596248
45,0.1027146842090063,0.07928071086774464,0.009642573808380024,0.06668354408314771,0.1286776329179066,0.09770882240597062,0.011398395388698707,0.08354993938115292
46,0.10314944364515906,0.07926592341327406,0.009635583405974275,0.06675012362259733,0.10831770055656191,0.08603372753133538,0.009616135690875481,0.07234769936981081
47,0.10152550659129204,0.07685251731482437,0.009508960327436571,0.06458337972835765,0.10554930894686702,0.08291741583615343,0.009149578655943624,0.07015302788966962
48,0.10139511508656966,0.07724839424965561,0.00947894644106011,0.06506442922536664,0.10672475860160542,0.08454862955537742,0.009256888311210349,0.07142788986436857
49,0.10105390351688022,0.07715357117768236,0.00947850908077125,0.06490650205318553,0.10584974181156262,0.08254699163349943,0.009118362034616556,0.06999609429184897
50,0.10078001579484937,0.07692427295793064,0.00940947826698131,0.06471994554180141,0.10849011619813906,0.08523053786593292,0.009444495449724005,0.07170406856078423
51,0.10059613350472288,0.07682013231686823,0.009455168737820967,0.06466576548483441,0.1386343351935248,0.11976940900249033,0.01213327936789963,0.10126264116234489
52,0.10107505533577642,0.07771429710870964,0.009464648659075195,0.06539246041144994,0.10484162772398817,0.08063743697314323,0.009082717440108476,0.06855371554459054
53,0.10008768572568638,0.07638904782617677,0.009372077380059648,0.06438202845570198,0.1248927823772554,0.10160839088786575,0.011209483443680227,0.08679062206210539
54,0.1003158997951005,0.07701337844317095,0.009436547759190478,0.06474878053679858,0.10386865699664881,0.08222791891614668,0.009114143100688981,0.06991100499901591
55,0.0986752055008269,0.07524576075065555,0.009246382329146685,0.0632487076979417,0.10931326714335902,0.08130271735950864,0.009406591770354257,0.06948665566091224
56,0.09811163355584632,0.07472791110573042,0.009234488451730083,0.06283021710275868,0.11150051291409999,0.08105275210502853,0.009635478333357301,0.06964077844075081
57,0.09777473797110571,0.0743904858987346,0.009193364394760282,0.06256359152314139,0.10393313603669926,0.07953190605025323,0.009159579397880344,0.06744977191422918
58,0.0976815501268413,0.07431854128126675,0.009181668463704,0.062488915620876426,0.10673142463022718,0.08491974251682748,0.009454684237140607,0.07189995819290694
59,0.0975206152375471,0.07445827046625418,0.00918395022697661,0.06255487910654327,0.10396020941216232,0.08170934949764076,0.009096921573720329,0.06902627789287986
60,0.096704922312947,0.07386280385878699,0.009127821447539907,0.06197345503726966,0.10133739447220037,0.07921474096895773,0.008819152303534038,0.06692199316493282
61,0.09620798712272294,0.07321668159455276,0.009047553711302461,0.06148371027437588,0.10477152983015241,0.0799271009251646,0.009116235071531597,0.067803082418431
62,0.09694052917952194,0.07390206277817768,0.009119329473572373,0.06210088977478874,0.10251203318580653,0.07938570647785073,0.008943416628169235,0.0671555463936474
63,0.09586415729400333,0.07306288439941228,0.009067556569195487,0.06138108802209971,0.0993218344106884,0.0798150220500769,0.008671828619170218,0.06726986132539706
64,0.09726762664370804,0.07483481310449762,0.00916146122044463,0.06289568651268866,0.10038853799132715,0.0791475904489081,0.00880970482980005,0.0668834110675913
65,0.09574779835575804,0.07315016271413187,0.009045790442590322,0.06149987268247383,0.10547924226777534,0.08479160096916252,0.009124560520780454,0.07151139568427443
66,0.09611240997251509,0.07368540918817472,0.009078920656364363,0.06185581731699613,0.09831025399326057,0.07712579064964889,0.008683078469301003,0.06492266444923865
67,0.09491893545759647,0.07261849476633075,0.008962880708207333,0.06094097587597239,0.10505974143204594,0.08160431122585834,0.009588724926828152,0.06928403851828208
68,0.09577871389193818,0.07390356779545826,0.009072471981035923,0.06201907676846564,0.09799966542134449,0.07792542487688277,0.008580271484169743,0.0656044904935281
69,0.09480124394676699,0.07217493974505114,0.008951332494621501,0.06069411188803356,0.10152677632980565,0.08186014425941374,0.008883275139926428,0.06861054198956762
70,0.09364355705364943,0.07111594133444492,0.008863062890362832,0.0597570696119264,0.0992029792415298,0.07472734159558131,0.008650767811163676,0.06325882238983174
71,0.09465351130456906,0.07281119704218564,0.008961896577570912,0.06110552776953357,0.09835506635681558,0.07637735716257561,0.008663892700500234,0.0647231544591958
72,0.09537124704880102,0.07325862514025339,0.009040666297048179,0.06150949051435433,0.11617948724750728,0.08878760257620205,0.010482413396171916,0.07566678108150086
73,0.09338038530339507,0.07102854553479288,0.00887461200993507,0.05962568684150341,0.09710136866124011,0.07573547135227915,0.00853255903713221,0.06415596492970256
74,0.09397322059085049,0.0718461410652949,0.008916042932825668,0.06028575186086736,0.09624912849368641,0.07617998257450054,0.008473864683545699,0.06433360438935365
75,0.09352637751512699,0.07170867707846919,0.00887073564755772,0.06014686748205705,0.10667327900583878,0.08297345670520577,0.009899075722379129,0.0699453214525889
76,0.09384055102368329,0.07162633083143684,0.00889477461224002,0.06014641225977003,0.09955823396328632,0.07580207505629967,0.008642169667128306,0.06455792174093547
77,0.09293461025871498,0.07104074387556265,0.008787526865645792,0.059594789740068606,0.09551917464259592,0.07454098844614425,0.00845376157604333,0.06277075058692475
78,0.09173371919004696,0.06979310109260829,0.008732479857193484,0.058574057722085286,0.09724371090773863,0.07765292572985937,0.008827198584771177,0.06512975076582864
79,0.09238979191634393,0.0707026691780321,0.008791710771780028,0.0593007423554771,0.09983507827184802,0.07786543096509449,0.008681792130939676,0.06588612086150286
80,0.09284483944521421,0.07115972004441434,0.00880974350525583,0.05981246579595208,0.10372719072106375,0.0852646221905821,0.009066315634471418,0.07165039144344111
81,0.09226764306422054,0.07065689515325442,0.008762228247741774,0.05937131462632188,0.09848910473588003,0.07702986394617126,0.008762375465097415,0.06526866236127882
82,0.09215534160712933,0.07076656396336768,0.00877690069997472,0.05944958846108487,0.09739605970164247,0.0775740529585129,0.008678557606938286,0.06527587926355452
83,0.09117767362748289,0.06941223468534655,0.008679614834691126,0.05818267228819192,0.09375351770697335,0.07329771828047837,0.00834480768227933,0.061896666547596776
84,0.09179174740299786,0.07018033248334683,0.008734272881299937,0.05897633221945984,0.10050864263946856,0.07894533565419493,0.008855804309221978,0.06683737326092286
85,0.08999247243315885,0.0685784516362331,0.00859344780621828,0.0575794010907132,0.10471041440837997,0.08019616435977477,0.009512576375060084,0.06795737483707662
86,0.09124948238518116,0.0695295895042192,0.008679699554841708,0.05831637238088673,0.09347148410719945,0.07242853493127138,0.008303325658079154,0.060865151549388014
87,0.0917719440473305,0.0705969462640977,0.008703409601027893,0.05929712317854014,0.09570972959164613,0.0755813167873386,0.008434983201082425,0.0637325908474494
88,0.09115100525373494,0.06956534885834574,0.008663591842162836,0.058372113694936334,0.10276343335743911,0.07988391835927389,0.009201145616392008,0.06776970979488708
89,0.0915911465392008,0.07056581274302004,0.008724078607174593,0.05926993897439838,0.0984514515045323,0.07472515337488032,0.00879466330891923,0.06360295882438449
90,0.09140642058614494,0.0703413644997756,0.008690795405383197,0.05890747424513621,0.09938660217308726,0.07653514808464869,0.008808714145656413,0.06510210476451929
91,0.08989085261446642,0.06877402938988246,0.008574764450567197,0.0577126005337469,0.09668719751907444,0.07481972694019728,0.008597278333706371,0.0633226172788593
92,0.08952369162509793,0.06827845016838366,0.008554880285630099,0.057309011610974195,0.09234245410475335,0.07243147636345526,0.008159153697582218,0.061039650997999136
93,0.08983794332581019,0.06864024586506294,0.008571559996614984,0.057561111045615405,0.0967724034096765,0.07427813138559039,0.008660720946461484,0.0627617818506063
94,0.0892559096728372,0.06824322661903645,0.008538431511441541,0.05727133425953592,0.09195133503874502,0.07176537099033324,0.008190739855525039,0.060634851792514
95,0.08959585072782716,0.06864368183579754,0.008543537726465546,0.05771443414239997,0.09340107049781778,0.0715089102375033,0.008334524363656587,0.060294051769718915
96,0.08909252378016239,0.0680568688630227,0.008526371118366216,0.05717730949500776,0.09316301116334738,0.07171924590094396,0.008248100917833515,0.060409897135603206
97,0.09094134363722974,0.07014850917948982,0.008678321910962659,0.059021101055875984,0.09432432743720148,0.07086391810994683,0.008306508064786486,0.06005996628931087
98,0.08831607250941563,0.06726075715156478,0.008441147985073125,0.056423166016412785,0.1038547286100241,0.07803367430174689,0.009276787496119683,0.06647127209935223
99,0.08930728878876824,0.06842920517823997,0.008540504556363916,0.05744384753479615,0.09207811778733499,0.07204181986572945,0.008229710471565427,0.06122676381474162
